Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
LinkedList,0.1,0,1.87834,0.0875,1.38709,1.88792,10009.0
LinkedList,0.1,1,0.1925,0.01917,4.41917,0.07542,10009.0
LinkedList,0.1,2,0.61167,0.02792,5.7825,0.05875,10009.0
LinkedList,0.1,3,0.03667,0.01916,0.055,0.05417,10009.0
LinkedList,0.1,4,0.03417,0.025,0.04084,0.04625,10009.0
LinkedList,0.3,0,2.34791,0.13375,0.36125,1.69667,10009.0
LinkedList,0.3,1,0.05584,0.02667,0.33333,0.05542,10009.0
LinkedList,0.3,2,0.18041,0.02834,0.07708,0.04625,10009.0
LinkedList,0.3,3,5.00084,0.0475,2.35459,0.06334,10009.0
LinkedList,0.3,4,0.0275,0.02958,0.04625,0.055,10009.0
LinkedList,0.5,0,4.01125,0.38125,0.54459,0.08041,10009.0
LinkedList,0.5,1,0.32458,0.03583,0.07375,0.06375,10009.0
LinkedList,0.5,2,0.04458,0.02584,0.05292,0.06209,10009.0
LinkedList,0.5,3,0.08,0.02875,0.05833,0.04542,10009.0
LinkedList,0.5,4,0.03584,0.03125,0.04458,0.04458,10009.0
LinkedList,0.7,0,0.17167,0.06875,4.87667,0.83666,10009.0
LinkedList,0.7,1,0.0425,0.04333,0.06833,0.05,10009.0
LinkedList,0.7,2,0.04792,0.03291,0.06417,0.06417,10009.0
LinkedList,0.7,3,0.04708,0.02917,0.05625,0.05417,10009.0
LinkedList,0.7,4,0.03083,0.02583,0.05916,0.04417,10009.0
LinkedList,0.9,0,0.12875,0.03667,0.5,0.06834,10009.0
LinkedList,0.9,1,0.04041,0.03666,0.08292,0.05167,10009.0
LinkedList,0.9,2,0.04916,0.05333,0.11208,0.05792,10009.0
LinkedList,0.9,3,0.05541,0.03708,0.0525,0.06417,10009.0
LinkedList,0.9,4,0.04792,0.03375,0.06,0.04625,10009.0
Cuckoo,0.1,0,2.91083,0.075,1.61042,0.02916,36229.0
Cuckoo,0.1,1,0.645,0.01625,1.35208,0.02792,36229.0
Cuckoo,0.1,2,0.01292,0.02166,0.04208,0.025,36229.0
Cuckoo,0.1,3,0.0425,0.02,0.03333,0.02583,36229.0
Cuckoo,0.1,4,0.11208,0.02541,0.03666,0.02542,36229.0
Cuckoo,0.3,0,0.96291,0.02709,0.1075,0.02875,72643.0
Cuckoo,0.3,1,0.01542,0.015,0.04,0.02875,72643.0
Cuckoo,0.3,2,0.01208,0.0125,0.03,0.02542,72643.0
Cuckoo,0.3,3,0.43875,0.01417,0.03833,0.02625,72643.0
Cuckoo,0.3,4,0.01375,0.0125,0.0325,0.02583,72643.0
Cuckoo,0.5,0,0.02833,0.01709,0.15375,0.03542,76667.0
Cuckoo,0.5,1,0.01708,0.01333,0.03667,0.025,76667.0
Cuckoo,0.5,2,0.01208,0.01208,0.03,0.025,76667.0
Cuckoo,0.5,3,0.01417,0.02625,0.03625,0.02833,76667.0
Cuckoo,0.5,4,0.01334,0.01459,0.03042,0.02583,76667.0
Cuckoo,0.7,0,0.02791,0.01917,1.735,0.0275,77681.0
Cuckoo,0.7,1,0.01709,0.01375,0.03,0.02625,77681.0
Cuckoo,0.7,2,0.0125,0.01208,0.02792,0.025,77681.0
Cuckoo,0.7,3,0.01459,0.0125,0.02959,0.02625,77681.0
Cuckoo,0.7,4,0.01375,0.01334,0.02833,0.02541,77681.0
Cuckoo,0.9,0,0.02708,0.01666,0.05416,0.02791,80701.0
Cuckoo,0.9,1,0.015,0.02042,0.04334,0.03792,80701.0
Cuckoo,0.9,2,0.59334,0.01334,1.1975,0.02667,80701.0
Cuckoo,0.9,3,0.41291,0.01292,0.03375,0.02583,80701.0
Cuckoo,0.9,4,0.0125,0.0125,0.02875,0.02584,80701.0
